Judul;Status
PERANCANGAN APLIKASI E-LEARNING BERBASIS WEB UNTUK PREDIKSI KELULUSAN SISWA MADRASAH ALIYAH MIFTAHUL ULUM MENGGUNAKAN ALGORITMA DECISION TREE;1
Penerapan sistem absensi siswa berbasis id card dengan enkripsi data menggunakan algoritma AES untuk kemanan informasi di SMK Terpadu Addimyati;1
IMPLEMENTASI ALGORITMA CLUSTERING K-MEANS PADA APLIKASI FELIYA ATTEDANCE UNTUK ANALISIS POLA KERJA KARYAWAN BERDASARKAN DATA ABSENSI DAN JAM KERJA PADA PT. FELIYA LAJU TEKNIK;1
PENGGUNAAN NATURAL LANGUAGE PROCESSING (NLP) UNTUK ANALISIS SENTIMEN MASYARAKAT TERHADAP HASIL PEMUNGUTAN SUARA ULANG (PSU) CALON BUPATI DAN WAKIL BUPATI TASIKMALAYA;1
Penggunaan Algoritma Genetika Untuk Menyusun Jadwal Pemakaian Mobil Secara Efisien Pada Rental Mobil;1
Analysis Sentimen Pengguna TikTok terhadap isu Indonesia Gelap menggunakan metode Niave Bayes;1
PERANCANGAN SISTEM INFORMASI MANAJEMEN PENJUALAN BERBASIS WEB DENGAN PREDIKSI PERMINTAAN MENGGUNAKAN ALGORITMA LINEAR REGRESSION (STUDI KASUS: MUAH HANDWASH);1
Pengembangan Kurikulum adaptif di Perguruan Tinggi Menggunakan Design Thinking dan Sistem Pendukung Keputusan Studi kasus di STMIK MARDIRA INDONESIA;1
PENERAPAN ALGORITMA PRIORITY SCHEDULING UNTUK NOTIFIKASI PENGINGAT PENGEMBALIAN BUKU PADA SISTEM INFORMASI PEMINJAMAN BERBASIS WEB DI GADA MEMBACA;1
RANCANG BANGUN SISTEM MANAJEMEN PENJUALAN KUE BERBASIS WEB DENGAN PENDEKATAN ALGORITMA GREEDY MENGGUNAKAN METODE WATERFALL (STUDY KASUS: TOKO KUE D'LILLAH);1
SISTEM PENDUKUNG KEPUTUSAN PENENTUAN JADWAL BOOKING TERBAIK PADA LAYANAN CARWASH MENGGUNAKAN METODE SAW (SIMPLE ADDITIVE WEIGHTING) (Studi Kasus : Carwash Pinguin Burujul);1
PERANCANGAN APLIKASI PENJUALAN KACA DAN KUSEN DENGAN PENERAPAN ALGORITMA APRIORI DI DND KACA ALUMINIUM;1
IMPLEMENTASI SISTEM INFORMASI PEMBELIAN BARANG BERBASIS WEB DENGAN PENDEKATAN BUSINESS PROCESS REENGINEERING (BPR) DI DND KACA ALUMINIUM;1
Perancangan Website Pemesanan Makanan Menggunakan Algoritma Decision Tree untuk Klasifikasi Preferensi Menu di Batagor Balagadona;1
PENERAPAN ALGORITMA RABIN-KARP UNTUK EFISIENSI PENCARIAN JUDUL DAN PENGARANG BUKU PADA SYSTEM INFORMASI PERPUSTAKAAN DIGITAL BERBASIS WEB STUDI KASUS : SMK WIDYA DIRGANTARA BANDUNG;1
PENERAPAN ALGORITMA PRIORITY QUEUE UNTUK MEMPROSES PENGADUAN MASYARAKAT BERDASARKAN TINGKAT URGENSI PADA APLIKASI BERBASIS WEB: STUDI KASUS DI DESA RAJAMANDALA KULON;1
